repo,file,total_ccn,max_ccn,function_count,total_nloc,n_revs,hotspot_score
posx-eume-backend,src/api/admin/cart/route.ts,20,19,2,187,21,420
posx-eume-store,src/components/primitives/date-time-picker.tsx,210,49,61,784,2,420
posx-frido-b2b-store,src/components/primitives/date-time-picker.tsx,210,49,61,784,2,420
posx-frido-backend,src/api/admin/cart/route.ts,20,20,1,188,21,420
posx-mokobara-admin,src/routes/reports/sku-sales/components/sku-sales-metrics.tsx,84,8,26,192,5,420
posx-mokobara-backend,src/scripts/products.ts,28,7,12,127,15,420
posx-mokobara-store,src/pages/reports/ccn-report-content.tsx,70,18,17,159,6,420
posx-comet-backend,src/workflows/order-return-and-exchange/workflows/confirm-return-order.ts,16,3,11,119,26,416
posx-comet-store,src/pages/loss-of-sales/index.tsx,32,6,19,230,13,416
posx-mokobara-backend,src/workflows/cart/steps/validate-cart-for-combo-step.ts,23,23,1,78,18,414
posx-frido-store,src/pages/fallback-orders/details/index.tsx,82,44,10,396,5,410
posx-mokobara-admin,src/routes/cms/cms-list/components/cms-list-table/cms-list-table.tsx,41,10,20,299,10,410
posx-eume-admin,src/routes/employees/employee-edit/components/edit-employee-form/edit-employee-form.tsx,34,17,9,320,12,408
posx-frido-admin,src/routes/employees/employee-list/components/employee-list-table/employee-list-table.tsx,34,12,10,259,12,408
posx-frido-mobility-backend,src/subscribers/order-detail-order-confirmed.ts,34,21,7,208,12,408
posx-ugaoo-backend,integration-tests/reconciliation/all-scenarios.qa.spec.ts,51,14,14,87,8,408
posx-mokobara-store,src/pages/orders/details/_layout.tsx,37,20,10,87,11,407
posx-comet-store,src/components/layouts/app/index.tsx,14,8,6,39,29,406
posx-eume-store,src/pages/customer/orders/details.tsx,45,35,9,160,9,405
posx-frido-store,src/libs/pathbuilder.ts,45,1,45,135,9,405
posx-mokobara-backend,src/workflows/cart/steps/calculate-combo-discount-step.ts,27,12,6,100,15,405
posx-mokobara-store,src/components/app/home/promotional-coupon/index.tsx,45,5,19,142,9,405
posx-comet-store,src/hooks/usePermission.ts,67,27,30,224,6,402
posx-comet-store,src/pages/returns/index.tsx,25,6,13,147,16,400
posx-eume-admin,src/hooks/api/gift-card.tsx,80,11,26,184,5,400
posx-frido-mobility-admin,src/routes/store-details/store-edit/components/edit-store-form.tsx,80,35,7,176,5,400
posx-mokobara-admin,src/routes/products/product-detail/components/product-variant-section/product-variant-section.tsx,50,9,19,303,8,400
posx-mokobara-admin,src/routes/gift-vouchers/components/config-tab.tsx,80,30,19,419,5,400
posx-mokobara-backend,src/workflows/cart/steps/add-personalization-product-step.ts,16,7,7,79,25,400
posx-mokobara-backend,src/api/role-access-middleware.ts,80,15,16,255,5,400
posx-comet-store,src/components/app/product/online-campaign-coupon/index.tsx,57,10,22,268,7,399
posx-mokobara-store,src/components/app/inventory/product-selector-modal.tsx,57,18,16,269,7,399
posx-comet-store,src/pages/online-orders/details/payment-details.tsx,36,9,13,184,11,396
posx-frido-backend,src/lib/helpers/calculate-promotional-discount.ts,33,12,17,239,12,396
posx-frido-backend,src/modules/snapmint/service.ts,33,9,13,243,12,396
posx-frido-mobility-backend,src/subscribers/order-detail-online-order-confirmed.ts,33,20,7,206,12,396
posx-ugaoo-backend,src/api/admin/order-detail/route.ts,36,29,2,84,11,396
posx-comet-admin,src/routes/order-details/order-list/components/order-report-grid.tsx,49,11,21,175,8,392
posx-frido-store,src/pages/csat/index.tsx,56,8,26,272,7,392
posx-mokobara-backend,src/workflows/pos-inventory/steps/parse-inventory-csv-step.ts,56,44,9,112,7,392
posx-comet-backend,src/api/admin/shopify-customer/route.ts,13,6,4,166,30,390
posx-eume-backend,src/workflows/order-return-and-exchange/steps/verify-return-approval-step.ts,39,8,12,172,10,390
posx-eume-store,src/components/app/home/online-coupon/index.tsx,39,5,15,180,10,390
